,timestamp,sensor_id,range_sc,azimuth_sc,rcs,vr,vr_compensated,x_cc,y_cc,x_seq,y_seq,uuid,track_id,label_id
290872,158233556556,2,13.151692,0.5134414,10.642345,-2.0741925,4.8095636,16.972466,0.31503278,3567.231,-2663.031,b'e5c3fcc4e519f97c3702656077df297c',b'f99cd724d1b311e69736bcaec523183d',0
290873,158233556556,2,14.532322,0.5007294,-6.222534,-2.0869682,4.802052,18.362062,0.23731935,3565.846,-2662.895,b'b5aac6d86738508bbb8f4e9ec555dbab',b'f99cd724d1b311e69736bcaec523183d',0
291504,158233621797,3,12.77771,-0.41190276,8.478647,-2.1517866,4.729244,16.634,1.0078778,3567.0645,-2663.7112,b'4c12643db1fad9d3ef92008a88f2e245',b'f99cd724d1b311e69736bcaec523183d',0
291505,158233621797,3,13.439915,-0.38100302,-2.5483801,-2.1641374,4.710838,17.279594,1.438782,3566.4019,-2664.1155,b'41997aa95ed4e44523a6a86bcafefc98',b'f99cd724d1b311e69736bcaec523183d',0
291617,158233629818,2,12.98497,0.5217456,11.56963,-2.1465733,4.732247,16.797472,0.40963846,3566.879,-2663.1094,b'f4d662ecad553ca7b059fc5c618b1407',b'f99cd724d1b311e69736bcaec523183d',0
291618,158233629818,2,13.859924,0.53015876,-3.0749478,-2.1556673,4.718549,17.658772,0.6005439,3566.0107,-2663.2654,b'5106e2beb295e6faf0c074a09f04d13d',b'f99cd724d1b311e69736bcaec523183d',0
291619,158233629818,2,14.617863,0.5068448,-1.6985631,-2.1532142,4.7325654,18.441387,0.3320269,3565.2395,-2662.9656,b'6adbfd4083fd516bb3ddad671f637d92',b'f99cd724d1b311e69736bcaec523183d',0
292363,158233694582,3,12.629172,-0.40769485,13.388102,-2.2229385,4.6339006,16.484114,1.0574229,3566.6936,-2663.7668,b'bc72d88d10d63a126a26eaa789d83f6e',b'f99cd724d1b311e69736bcaec523183d',0
292364,158233694582,3,13.841134,-0.42605537,-7.097246,-2.2122183,4.6457796,17.70045,0.83764243,3565.4868,-2663.4993,b'51e401a4a6513f1ed26faa556505590d',b'f99cd724d1b311e69736bcaec523183d',0
292477,158233702202,2,12.77388,0.5215229,16.949787,-2.2137818,4.646301,16.587397,0.38876492,3566.543,-2663.0676,b'51266c99a7a0207bf6e9189b13b22f8b',b'f99cd724d1b311e69736bcaec523183d',0
292478,158233702202,2,13.859929,0.53975016,0.5687251,-2.208352,4.6412754,17.645668,0.73283225,3565.4722,-2663.37,b'fbc9cb2d049d8c0948460d209d385e02',b'f99cd724d1b311e69736bcaec523183d',0
292479,158233702202,2,14.6999235,0.5385171,-2.948193,-2.1940255,4.656381,18.483025,0.80164033,3564.6328,-2663.406,b'e6244c5f26c7f9c904ce406c5079ff20',b'f99cd724d1b311e69736bcaec523183d',0
293183,158233768535,3,12.474223,-0.41440234,11.089708,-2.2682338,4.575964,16.331314,0.96939313,3566.292,-2663.6536,b'0a1c636b5710c53d0fc44c839e269579',b'f99cd724d1b311e69736bcaec523183d',0
293184,158233768535,3,13.439908,-0.42514026,0.3366716,-2.2728133,4.571622,17.299116,0.8459507,3565.3293,-2663.494,b'e3422ed15f64846997d8d09fa208651e',b'f99cd724d1b311e69736bcaec523183d',0
293309,158233777241,2,12.577082,0.5264918,16.938969,-2.2537231,4.5929923,16.385832,0.4342447,3566.2065,-2663.1094,b'14a3baaaa138f8c4e308f5856a9c8b59',b'f99cd724d1b311e69736bcaec523183d',0
293310,158233777241,2,14.314757,0.53241956,-0.13002825,-2.24511,4.5983515,18.108524,0.6754393,3564.4758,-2663.286,b'303b44cb1aa77c067b2cdc907f422049',b'f99cd724d1b311e69736bcaec523183d',0
293942,158233840492,3,12.298666,-0.42205036,5.576746,-2.313047,4.496291,16.15747,0.8715564,3565.9465,-2663.5808,b'4b1fe1a0bfacdbdad10c7533423627c0',b'f99cd724d1b311e69736bcaec523183d',0
293943,158233840492,3,13.377867,-0.4245369,3.3639886,-2.3145735,4.494757,17.236988,0.85334814,3564.8684,-2663.524,b'182d51a20e13906405874e4088ec0ef1',b'f99cd724d1b311e69736bcaec523183d',0
293944,158233840492,3,14.279903,-0.44533202,-11.651506,-2.2746,4.533018,18.139282,0.5667416,3563.977,-2663.2053,b'd4c7f8b3064f148e2d87242dabbb7fb1',b'f99cd724d1b311e69736bcaec523183d',0
293965,158233840492,3,14.4784775,-0.5010743,-7.7342863,-2.0567756,4.731737,18.307833,-0.24151236,3563.8374,-2662.3914,b'e04113c51e0f8542cdcd312fc28134c0',b'f99cd724d1b311e69736bcaec523183d',0
294081,158233851027,2,12.399364,0.53218585,19.190243,-2.2946413,4.517602,16.202272,0.48851413,3565.812,-2663.2222,b'83e668c42db2585fb24bdd988edb51cf',b'f99cd724d1b311e69736bcaec523183d',0
294082,158233851027,2,13.859935,0.5585187,-0.5129485,-2.3018973,4.492975,17.616356,0.9913022,3564.3809,-2663.6743,b'89d3826fe6b13d951c3354495f75ec05',b'f99cd724d1b311e69736bcaec523183d',0
294641,158233914258,3,12.101112,-0.42436364,-0.6305144,-2.3256676,4.441069,15.960293,0.8408097,3565.58,-2663.5923,b'5bf0ea5c0a3b0b0457add2708632d631',b'f99cd724d1b311e69736bcaec523183d',0
294642,158233914258,3,13.219291,-0.43367192,2.5877845,-2.323672,4.442802,17.079256,0.73077524,3564.4653,-2663.444,b'aebc2fb68ae70e77dce8bf466b55a203',b'f99cd724d1b311e69736bcaec523183d',0
294763,158233923486,2,12.26837,0.5392819,17.095043,-2.31479,4.4398756,16.063229,0.5625836,3565.4219,-2663.3162,b'ced5b76202ffd992f5ef79669f2ef773',b'f99cd724d1b311e69736bcaec523183d',0
294764,158233923486,2,13.362916,0.5586179,6.4711785,-2.3149607,4.4263444,17.122889,0.9319677,3564.3503,-2663.6497,b'86b061cbd4ad095787b0b93239c9662b',b'f99cd724d1b311e69736bcaec523183d',0
295367,158233988649,3,12.001622,-0.40946376,6.6574306,-2.3129897,4.3677683,15.857397,1.0184405,3565.1458,-2663.8008,b'dcbc685de8b84f024d1a25263ffa93e0',b'f99cd724d1b311e69736bcaec523183d',0
295368,158233988649,3,13.439909,-0.42573494,-6.861006,-2.3062463,4.3752627,17.299202,0.83795905,3563.7107,-2663.5735,b'35aa2f7fede48f724efdd281081b16f9',b'f99cd724d1b311e69736bcaec523183d',0
295479,158233999774,2,12.00703,0.5349841,15.277161,-2.3009393,4.373648,15.808476,0.48434705,3565.1145,-2663.2842,b'e66d08c1025d6cc142fb84a6e5ee466a',b'f99cd724d1b311e69736bcaec523183d',0
295480,158233999774,2,13.074883,0.55106246,7.28614,-2.3037884,4.360584,16.848705,0.7986991,3564.0647,-2663.565,b'38c28ac6189e989e7ccc3d5e2015909d',b'f99cd724d1b311e69736bcaec523183d',0
296030,158234061339,3,11.734144,-0.42677194,-0.0008337498,-2.2832372,4.316639,15.593644,0.8082819,3564.8792,-2663.6343,b'1d9ff5d3919d23d5efc5bdc752e1cb6e',b'f99cd724d1b311e69736bcaec523183d',0
296031,158234061339,3,12.397435,-0.37955865,-2.828314,-2.2784524,4.315265,16.237694,1.3993564,3564.2173,-2664.2053,b'79f5fe2bc499e3cc3e469ed7d48197d1',b'f99cd724d1b311e69736bcaec523183d',0
296143,158234073225,2,11.917658,0.53048354,19.643995,-2.2646315,4.3348975,15.72471,0.4221452,3564.6777,-2663.2473,b'a8a852933514414f2b03068d2699eadd',b'f99cd724d1b311e69736bcaec523183d',0
296144,158234073225,2,12.599935,0.5400358,9.931244,-2.2440214,4.350078,16.392052,0.60615414,3564.0051,-2663.411,b'91497a32a3185bb519eae95e0da1124c',b'f99cd724d1b311e69736bcaec523183d',0
296704,158234133314,3,11.614832,-0.40073588,11.097696,-2.239395,4.282574,15.46761,1.1095017,3564.4946,-2663.967,b'c016ef6166dfac46c3d7470a142ba1ba',b'f99cd724d1b311e69736bcaec523183d',0
296705,158234133314,3,12.607609,-0.43135595,0.22876906,-2.2434158,4.2796097,16.467474,0.7585498,3563.5054,-2663.5872,b'f53ce036da4d007d775b0cc867a53478',b'f99cd724d1b311e69736bcaec523183d',0
296706,158234133314,3,13.319588,-0.41741145,-5.7222157,-2.2224808,4.300822,17.177286,0.9475775,3562.7903,-2663.7554,b'6904b372a1255cbe62975816e80894bb',b'f99cd724d1b311e69736bcaec523183d',0
296707,158234133314,3,15.534457,-0.45824757,-12.005978,-2.2592304,4.259679,19.390614,0.35442457,3560.5952,-2663.0981,b'ffe35cab97158b3a94fad456658c1036',b'f99cd724d1b311e69736bcaec523183d',0
296816,158234147398,2,11.752232,0.528579,21.217348,-2.2227402,4.285778,15.562105,0.3842836,3564.31,-2663.2463,b'a00f5df4399cad721120ae71dcee41ac',b'f99cd724d1b311e69736bcaec523183d',0
296817,158234147398,2,13.01994,0.56268054,-2.708856,-2.2287974,4.258674,16.775913,0.94256705,3563.0806,-2663.7695,b'353b8b4af794decd6e1ddc526172bce8',b'f99cd724d1b311e69736bcaec523183d',0
296818,158234147398,2,13.859928,0.53982645,-12.639603,-2.2188618,4.2835503,17.645557,0.7338839,3562.2173,-2663.5361,b'5df529e40b73bfb474c261c6da9acd9c',b'f99cd724d1b311e69736bcaec523183d',0
296819,158234147398,2,15.91013,0.5332021,-14.555195,-3.0324569,3.4736512,19.695314,0.8411239,3560.1653,-2663.5842,b'eca156b859daec5b052aeb53d38d2b71',b'f99cd724d1b311e69736bcaec523183d',0
297350,158234207002,3,11.494547,-0.40688214,14.0051365,-2.207811,4.221541,15.349674,1.0346491,3564.0872,-2663.934,b'8b5f36174c2ec759c77f6dc5af2a3d03',b'f99cd724d1b311e69736bcaec523183d',0
297351,158234207002,3,12.599914,-0.42659923,-4.0958767,-2.2243145,4.205806,16.459358,0.8184469,3562.984,-2663.6875,b'6ab7ddc77d501e5bde9e038039d41e7e',b'f99cd724d1b311e69736bcaec523183d',0
297352,158234207002,3,13.378593,-0.382553,-12.547434,-2.2145123,4.210448,17.21949,1.414705,3562.2078,-2664.2627,b'e04445d8c97d59d74b8973c77968e081',b'f99cd724d1b311e69736bcaec523183d',0
297353,158234207002,3,15.423228,-0.45202628,-10.618383,-2.2080271,4.2193933,19.281248,0.45283365,3560.173,-2663.2449,b'1c74f885a34a97b0ae81e2c388bc7a2c',b'f99cd724d1b311e69736bcaec523183d',0
297477,158234220511,2,11.606471,0.5490086,12.945511,-2.1903095,4.227053,15.39268,0.60670036,3563.9734,-2663.508,b'8083daa7ee81238b2de1c002a3fe3d53',b'f99cd724d1b311e69736bcaec523183d',0
297478,158234220511,2,13.078078,0.5158539,-1.2364659,-2.174906,4.2603803,16.896597,0.3408056,3562.4773,-2663.2017,b'b48d66c4eea96e74af9b675888995b56',b'f99cd724d1b311e69736bcaec523183d',0
297479,158234220511,2,15.263323,0.5814786,-11.926265,-2.190745,4.2022266,18.962502,1.5098588,3560.3804,-2664.3142,b'e2d39bad91e368c323371ec8438d93c8',b'f99cd724d1b311e69736bcaec523183d',0
297480,158234220511,2,15.547253,0.51576275,-8.467876,-5.7431154,0.6922106,19.358053,0.53590006,3560.0115,-2663.3298,b'5ca28686577177da582de95249509725',b'f99cd724d1b311e69736bcaec523183d',0
297949,158234280868,3,11.329005,-0.41788247,10.22093,-2.1906152,4.159655,15.187146,0.9052423,3563.7593,-2663.8276,b'e40fe0ad92864d1d3c21d66364d01298',b'f99cd724d1b311e69736bcaec523183d',0
297950,158234280868,3,13.18703,-0.3827167,-7.8670673,-2.1737769,4.1703935,17.028315,1.4023161,3561.9058,-2664.2764,b'be4b77a90a1e29e98644cbf7470ab145',b'f99cd724d1b311e69736bcaec523183d',0
298062,158234291924,2,11.43056,0.54432124,18.46781,-2.1730175,4.149562,15.223795,0.5336426,3563.6658,-2663.4583,b'd44cef69eba2fea35074cb0b9516d3ca',b'f99cd724d1b311e69736bcaec523183d',0
298063,158234291924,2,12.975948,0.5238743,-9.4165535,-2.181194,4.1526976,16.786093,0.43638533,3562.1067,-2663.3206,b'c99d665ad30948ee6118f4b761ae5432',b'f99cd724d1b311e69736bcaec523183d',0
298536,158234354448,3,11.1768055,-0.4220329,10.084913,-2.1782684,4.0639443,15.035715,0.8561026,3563.401,-2663.8245,b'8a44b85aa76915f039ab2e23eaa0def9',b'f99cd724d1b311e69736bcaec523183d',0
298537,158234354448,3,12.179919,-0.4739143,-4.5933404,-2.1910877,4.043474,16.031166,0.23831737,3562.421,-2663.1824,b'c092700c75a3983c4950cedd5ffd8e3f',b'f99cd724d1b311e69736bcaec523183d',0
298538,158234354448,3,12.888672,-0.36609137,-10.009179,-2.1746476,4.056994,16.71719,1.6002955,3561.7017,-2664.527,b'c1ad7ea4cb7807b7df6f92d1eefcd646',b'f99cd724d1b311e69736bcaec523183d',0
298540,158234354448,3,15.1188545,-0.45628974,-13.97266,-2.173602,4.0654426,18.975742,0.39326313,3559.4734,-2663.2646,b'642c54f15f980cd7f764bd7c7da64f7f',b'f99cd724d1b311e69736bcaec523183d',0
298680,158234366141,2,11.194949,0.5421859,11.932949,-2.1462667,4.072476,14.992114,0.4844466,3563.3755,-2663.4583,b'f622d96d68892799bc3a3443c1e49025',b'f99cd724d1b311e69736bcaec523183d',0
298681,158234366141,2,12.179945,0.5684269,-6.651838,-2.1608086,4.040619,15.9336,0.90600044,3562.424,-2663.8567,b'3d9e0c12d7a67ba76e98d8aab2198d55',b'f99cd724d1b311e69736bcaec523183d',0
298682,158234366141,2,13.439933,0.5488719,-11.5644455,-2.1292233,4.0855136,17.214693,0.811292,3561.1458,-2663.7307,b'8f35da06a35aea83c66ddb3e6276a852',b'f99cd724d1b311e69736bcaec523183d',0
299123,158234427976,3,10.983778,-0.4066702,10.254805,-2.1788394,3.9495962,14.839054,1.0221055,3563.1152,-2664.0205,b'de581b1c1d82601e606d08e28f21a780',b'f99cd724d1b311e69736bcaec523183d',0
299124,158234427976,3,11.75992,-0.46190855,-3.350347,-2.1707397,3.9532144,15.615973,0.39535144,3562.353,-2663.3762,b'16d79bbae40988010758ff4546e0ff3a',b'f99cd724d1b311e69736bcaec523183d',0
299234,158234440538,2,11.201101,0.5189912,7.320312,-2.15368,3.9796305,15.022721,0.2264533,3562.8743,-2663.2268,b'1a045deef29c0e695e232431f6dc8219',b'f99cd724d1b311e69736bcaec523183d',0
299235,158234440538,2,12.116376,0.57953745,-11.250728,-1.4526385,4.644236,15.852095,1.0309613,3562.0269,-2664.0122,b'9361ff05624ec49d66523c3af5d1a99f',b'f99cd724d1b311e69736bcaec523183d',0
299236,158234440538,2,12.179939,0.5477016,-6.448422,-2.169066,3.9497628,15.964284,0.6554436,3561.9233,-2663.6343,b'934ea5fefd82042c5d3113439ec4a560',b'f99cd724d1b311e69736bcaec523183d',0
299237,158234440538,2,13.019923,0.50933987,-7.3688893,-2.12808,4.008964,16.8451,0.2516126,3561.0518,-2663.2107,b'4368f402484d3194b571ecdc17250906',b'f99cd724d1b311e69736bcaec523183d',0
299735,158234501793,3,10.823948,-0.40635473,13.243292,-2.1870255,3.8270457,14.679192,1.0208318,3562.7837,-2664.0593,b'10f10fc575c7ad94427915d224e4343e',b'f99cd724d1b311e69736bcaec523183d',0
299736,158234501793,3,13.436436,-0.34370536,-12.434149,-2.4597974,3.5367951,17.239248,1.9383509,3560.2048,-2664.9226,b'efa7e78243bb6ce4d39f404d81181e40',b'f99cd724d1b311e69736bcaec523183d',0
299888,158234513185,2,10.919941,0.5285852,14.992302,-2.1851223,3.8227684,14.733358,0.30756253,3562.6765,-2663.338,b'f4558df4a5e52314bef34d528aeeae12',b'f99cd724d1b311e69736bcaec523183d',0
299889,158234513185,2,11.616845,0.62620604,-3.2596407,-2.1390924,3.7943745,15.267746,1.4941769,3562.1172,-2664.5132,b'77365b8e506ba4a7a8c78aa26373069b',b'f99cd724d1b311e69736bcaec523183d',0
300417,158234574457,3,10.635434,-0.3996223,10.692438,-2.1973116,3.6961892,14.488398,1.0868074,3562.5193,-2664.1428,b'ae074fab9cc5f2c10905b347eedf6970',b'f99cd724d1b311e69736bcaec523183d',0
300418,158234574457,3,11.876078,-0.41771758,-0.56323457,-2.200885,3.6939583,15.734093,0.9171114,3561.2773,-2663.9487,b'407cf7b75316002883891ffc0577745c',b'f99cd724d1b311e69736bcaec523183d',0
300554,158234586615,2,10.747918,0.5320453,16.389284,-2.1895301,3.687853,14.558575,0.3287142,3562.3904,-2663.377,b'7c0c62bbfe5d7c88d23eef2dc99c0e33',b'f99cd724d1b311e69736bcaec523183d',0
300555,158234586615,2,12.179943,0.5608262,-2.318502,-2.185661,3.6755767,15.9454565,0.81418663,3560.9944,-2663.8354,b'29733719b153fa9a5351f4014b1e5ab6',b'f99cd724d1b311e69736bcaec523183d',0
301095,158234648651,3,10.491452,-0.41248327,4.253664,-2.2123144,3.5576923,14.348551,0.94670177,3562.1877,-2664.0493,b'44d39de2cd494a9d8af957aaf1c564bc',b'f99cd724d1b311e69736bcaec523183d',0
301096,158234648651,3,11.6133175,-0.41223752,-2.6371748,-2.2127202,3.5572739,15.470038,0.9759352,3561.066,-2664.0583,b'8986fef4f6cd831a80bb74c0152599a0',b'f99cd724d1b311e69736bcaec523183d',0
301097,158234648651,3,12.539026,-0.46649024,-12.578215,-2.136809,3.6275275,16.393198,0.31774107,3560.1548,-2663.3838,b'e298aa20770c53c7015aebc92c07150d',b'f99cd724d1b311e69736bcaec523183d',0
301098,158234648651,3,12.774472,-0.44263503,-12.82375,-2.0560956,3.7128203,16.634192,0.6152414,3559.9084,-2663.677,b'46442efcf85d6a2438b1d32325c89d7d',b'f99cd724d1b311e69736bcaec523183d',0
301099,158234648651,3,12.859026,-0.38165423,-17.627954,-2.1660113,3.5996876,16.70004,1.3984895,3559.8286,-2664.459,b'2a9d0d31cfb981dc1cbc25c3d4a0bd70',b'f99cd724d1b311e69736bcaec523183d',0
301100,158234648651,3,13.439911,-0.47351262,-14.178209,-1.9952956,3.767068,17.290457,0.19595164,3559.2598,-2663.246,b'314093326aa77cd33464af0ce708492f',b'f99cd724d1b311e69736bcaec523183d',0
301101,158234648651,3,14.370322,-0.45206854,-14.481474,-2.2104678,3.5570295,18.228468,0.46909976,3558.317,-2663.5024,b'fd0d567ee6775d27a3e9b81e142292d6',b'f99cd724d1b311e69736bcaec523183d',0
301133,158234648651,3,13.420965,-0.49727193,-7.473113,-2.8181105,2.9354708,17.255781,-0.12181401,3559.3,-2662.929,b'1d9d454955f1de070a4111174f20dd48',b'f99cd724d1b311e69736bcaec523183d',0
301327,158234661643,2,10.634409,0.54228234,14.569233,-2.2011228,3.5605364,14.434612,0.4261598,3562.034,-2663.5205,b'9c12b8ac66cccfc4596111dc2dca2427',b'f99cd724d1b311e69736bcaec523183d',0
301328,158234661643,2,11.634071,0.5768186,6.882837,-2.175848,3.5641124,15.379213,0.9307459,3561.0806,-2664.0083,b'ec36dd1411e46bd805ea3798f22d1037',b'f99cd724d1b311e69736bcaec523183d',0
301329,158234661643,2,12.599934,0.5371924,-7.526131,-2.161672,3.6026044,16.395714,0.5705152,3560.0706,-2663.6301,b'4df72632e7698d7376f0cc749dbd046b',b'f99cd724d1b311e69736bcaec523183d',0
301330,158234661643,2,12.818035,0.49400863,-16.461182,-3.0219727,2.7584968,16.656612,0.040763974,3559.819,-2663.096,b'64f11c3b4becc15164c97192d5e63346',b'f99cd724d1b311e69736bcaec523183d',0
301331,158234661643,2,13.355061,0.5461061,-18.258472,-2.179163,3.5804315,17.13446,0.7650395,3559.3284,-2663.8115,b'0ca50fa8fe8e3ca720ae2d782b97ba12',b'f99cd724d1b311e69736bcaec523183d',0
301841,158234723450,3,10.415017,-0.3915448,9.476812,-2.1977525,3.4738224,14.264728,1.1628492,3561.8223,-2664.2808,b'774ed592530462609b40efe87f29e85b',b'f99cd724d1b311e69736bcaec523183d',0
301842,158234723450,3,11.339924,-0.4081469,-1.6661818,-2.2039628,3.4694626,15.195525,1.0158112,3560.8938,-2664.1187,b'db6e2c5be76dc2c6814b014817028777',b'f99cd724d1b311e69736bcaec523183d',0
301843,158234723450,3,12.06211,-0.3886466,-6.45701,-2.178342,3.4927495,15.908588,1.2709682,3560.1768,-2664.3623,b'bf622246d9c881450abf0913a0601d91',b'f99cd724d1b311e69736bcaec523183d',0
301845,158234723450,3,13.019917,-0.38381326,-19.50651,-2.1533804,3.516799,16.862192,1.3791584,3559.2217,-2664.4548,b'8bd95c17af3541f669bf4016bd12aebe',b'f99cd724d1b311e69736bcaec523183d',0
301847,158234723450,3,14.266452,-0.4511374,-16.093641,-2.1979058,3.4730449,18.124817,0.48405126,3557.9736,-2663.5396,b'7b0694e94eda5ed20df42d04238d2c00',b'f99cd724d1b311e69736bcaec523183d',0
302073,158234735215,2,10.384303,0.5449312,15.3279705,-2.1877773,3.4759698,14.182963,0.42702204,3561.8462,-2663.5518,b'7aa4570818641ed4f0995f2d0f9d8e33',b'f99cd724d1b311e69736bcaec523183d',0
302074,158234735215,2,11.661872,0.5397326,-2.9792523,-31.20245,-25.536058,15.459409,0.5053939,3560.5686,-2663.6099,b'49ac28459ed175b847877ff16953e574',b'f99cd724d1b311e69736bcaec523183d',0
302075,158234735215,2,11.759953,0.58249336,1.4379625,-2.177003,3.4630911,15.49431,1.0144396,3560.5256,-2664.1184,b'd3d652889516cd9f9e29717be42d229c',b'f99cd724d1b311e69736bcaec523183d',0
302076,158234735215,2,12.599943,0.56530935,-19.042181,-2.1512506,3.500654,16.355051,0.92243356,3559.6665,-2664.0127,b'd69065e8ebad825ed65f1fb7a7816e64',b'f99cd724d1b311e69736bcaec523183d',0
302077,158234735215,2,12.77354,0.571172,-16.447287,27.868187,33.51625,16.517342,1.019022,3559.5027,-2664.1067,b'f2828992d21c40c09e74ea0eb74c492f',b'f99cd724d1b311e69736bcaec523183d',0
302596,158234796757,3,10.314291,-0.3829916,7.552313,-2.1795163,3.355339,14.159803,1.2464879,3561.496,-2664.394,b'1e3e235d22dadbaafb1ca34a5fb7e931',b'f99cd724d1b311e69736bcaec523183d',0
302597,158234796757,3,11.75992,-0.42515522,-9.869989,-2.1820993,3.356149,15.619228,0.8275309,3560.0427,-2663.9543,b'ead528357a70bd53cd7190351be1fcf1',b'f99cd724d1b311e69736bcaec523183d',0
302599,158234796757,3,13.01261,-0.32120582,-13.44843,-2.5257583,2.9863598,16.786966,2.190493,3558.8557,-2665.3005,b'ab1d7d8069fed9f69754883bceb58282',b'f99cd724d1b311e69736bcaec523183d',0
302601,158234796757,3,14.228539,-0.44708395,-16.383768,-2.1752136,3.3609076,18.087666,0.5422946,3557.5786,-2663.6338,b'140bf575b781d37c3c7beec8b1b0e5d3',b'f99cd724d1b311e69736bcaec523183d',0
302787,158234807252,2,10.139245,0.5349054,3.4127727,-2.177262,3.3584216,13.949879,0.29931813,3561.6467,-2663.4526,b'57c7a2398ade29f24885dc9f0145ed04',b'f99cd724d1b311e69736bcaec523183d',0
302788,158234807252,2,11.184055,0.5798002,8.152593,-2.1605268,3.3494394,14.928917,0.90067714,3560.6594,-2664.04,b'a3cdbaf3bf641e60812123ff16a01d57',b'f99cd724d1b311e69736bcaec523183d',0
302789,158234807252,2,12.179942,0.5577058,-10.692108,-2.1577673,3.3662467,15.950121,0.7764681,3559.64,-2663.9016,b'0b247f6536142f2225289ebcd175c44f',b'f99cd724d1b311e69736bcaec523183d',0
302790,158234807252,2,13.019952,0.59731096,-18.22693,30.280718,35.77764,16.71131,1.3887784,3558.8704,-2664.5032,b'cfdef1e090d2906f07d8504b93f7f632',b'f99cd724d1b311e69736bcaec523183d',0
302791,158234807252,2,14.4142275,0.62840843,-16.964012,-2.1268935,3.342711,18.008747,2.053711,3557.5635,-2665.1497,b'81822d78eecd4d5ff856572e67fc59f0',b'f99cd724d1b311e69736bcaec523183d',0
303330,158234870004,3,9.967214,-0.36526164,4.8245583,-2.1346178,3.2808623,13.802286,1.4044764,3561.426,-2664.5723,b'3d6b85c0d78396eae9cf73262ff724ad',b'f99cd724d1b311e69736bcaec523183d',0
303331,158234870004,3,11.083259,-0.4631405,-3.5804725,-2.1415565,3.2757998,14.939177,0.3992318,3560.3018,-2663.553,b'338004ffbf76b275aea1c8b6fe7fc8f5',b'f99cd724d1b311e69736bcaec523183d',0
303332,158234870004,3,11.759921,-0.40062156,-3.7848456,-2.138292,3.2838585,15.612562,1.1159608,3559.6194,-2664.2612,b'f58341857caad664681fb8a223117952',b'f99cd724d1b311e69736bcaec523183d',0
303333,158234870004,3,12.615184,-0.4081006,-15.556181,-1.823035,3.5996583,16.470274,1.05191,3558.7627,-2664.1865,b'280373266097cf9c3a1a12fbccf62829',b'f99cd724d1b311e69736bcaec523183d',0
303575,158234879454,2,10.248454,0.58438015,9.880544,-2.105055,3.2874825,13.996123,0.81321114,3561.1926,-2663.981,b'52cd8da852aba798cd61f0e8a61dd2f7',b'f99cd724d1b311e69736bcaec523183d',0
303576,158234879454,2,10.919955,0.5817829,6.089265,-2.0913153,3.3030384,14.664416,0.88430387,3560.5237,-2664.0437,b'10ffe0dc0b49057e5dcc1040fd74897b',b'f99cd724d1b311e69736bcaec523183d',0
303577,158234879454,2,12.044469,0.5105201,-15.890011,-2.091082,3.3388715,15.871207,0.19449425,3559.3254,-2663.339,b'20cf8ecf89d6b13f0726ee9a9cc664c8',b'f99cd724d1b311e69736bcaec523183d',0
303578,158234879454,2,14.268648,0.54246205,-17.171955,-1.4627507,3.954647,18.048145,0.8135671,3557.1409,-2663.9314,b'42a1c25da655b58049e51739d9e5ebcb',b'f99cd724d1b311e69736bcaec523183d',0
304084,158234942421,3,9.861088,-0.37311327,3.4721184,-2.1037982,3.197304,13.701595,1.3197227,3561.1377,-2664.506,b'b9a968de39fe63f3783899e56397410a',b'f99cd724d1b311e69736bcaec523183d',0
304085,158234942421,3,10.499939,-0.35892352,-6.127079,-2.0857615,3.2116797,14.328766,1.508497,3560.5085,-2664.6885,b'5e94d15fa2fb2edde79cc3573b5c13e5',b'f99cd724d1b311e69736bcaec523183d',0
304086,158234942421,3,10.818374,-0.45871773,-3.515263,-2.1049714,3.1955636,14.675582,0.45425218,3560.1729,-2663.6306,b'00e3b49e564ff3246c8a6f44e9f51e3c',b'f99cd724d1b311e69736bcaec523183d',0
304087,158234942421,3,12.179918,-0.4072766,-12.639242,-2.1033866,3.2021506,16.034895,1.0498004,3558.8074,-2664.212,b'2fd7e58520aad171592f6b2178d82f2e',b'f99cd724d1b311e69736bcaec523183d',0
304088,158234942421,3,12.40998,-0.36629954,-19.696678,-1.6722463,3.6272311,16.239847,1.564281,3558.5972,-2664.7244,b'14b93ff823a184c07125e056fa7f28b4',b'f99cd724d1b311e69736bcaec523183d',0
304089,158234942421,3,13.016122,-0.36924514,-21.517948,-2.1462636,3.1539464,16.847132,1.568244,3557.9897,-2664.722,b'0cf5e1ada6d9fb27eff9e2218b48a83f',b'f99cd724d1b311e69736bcaec523183d',0
304090,158234942421,3,13.213547,-0.3772994,-15.747539,-2.9480767,2.3539016,17.050789,1.4751978,3557.787,-2664.6267,b'5e09e8590af8cf0b64055457f17bf4b5',b'f99cd724d1b311e69736bcaec523183d',0
304091,158234942421,3,13.294857,-0.44580206,-17.57049,-2.0726147,3.230496,17.154219,0.56968474,3557.693,-2663.7202,b'be384626b6435e939118c38e9de36998',b'f99cd724d1b311e69736bcaec523183d',0
304092,158234942421,3,13.502597,-0.46771812,-17.157598,26.717861,32.01608,17.355806,0.2717948,3557.4946,-2663.4202,b'a068f800b5554a28f1f073c141d0f791',b'f99cd724d1b311e69736bcaec523183d',0
304321,158234953309,2,10.044481,0.5546701,8.641403,-2.0891733,3.2127948,13.834059,0.48733228,3560.9395,-2663.6753,b'4ee695e7ddfbaa2788c5667dd6c6c2de',b'f99cd724d1b311e69736bcaec523183d',0
